Datum;Zeit;Wetter;Temp;Einsatz;Ort;Besonderheit
01.01.2023;01:37;wind,warm,trocken;;brand;Katzenberg;
04.01.2023;08:28;regnerrisch,kühl;;vku;B101;
21.01.2023;18:21;starker schneefall;;vku;B101;
03.03.2023;12:48;Regen, starker wind;;Baum auf Straße;Kottewitz;
02.03.2023;17:20;kalt, trocken;;Unterstützung Rettungsdienst;Kottewitz;nächster Tag kein Strom
11.03.2023;07:17;Wind,Schnee, kalt;;Baum auf Straße;B101;
21.03.2023;12:51;gut;;vku;B101;
30.03.2023;17:39;feucht, windig;;Baum auf Straße;Wendischbora;
31.01.2023;18:23;leichter wind, feucht;;vku;B101;
01.04.2023;12:26;Regen, kühl;;vku;B101;
02.04.2023;16:40;kalt, trocken;;brand;A14;Raststätte
03.04.2023;15:58;kalt, trocken;;Unterstützung Rettungsdienst;Wunschwitz;
16.01.2022;10:24;Sonnig, kalt, trocken;;Gasausströmung;Heynitz;
24.01.2022;11:01;regnerisch, 4°;;Ölspur;Heynitz;
26.01.2022;15:34;regnerisch, 0°;;Ölspur;Heynitz;
30.01.2022;12:18;wind, trocken;;Baum auf Straße;Wunschwitz;
20.02.2022;17:29;starker wind, Regen;;Baum auf Straße;Kottewitz;
02.03.2022;10:27;trocken,sonne, kalt;;vku;Starbach;
02.03.2022;19:09;trocken, kalt;;vku;A14;
09.03.2022;05:11;trocken, kalt;;brand;A14;
24.03.2022;13:49;trocken,warm;;brand;Raußlitz;
26.03.2022;15:37;trocken,sonne,heiß;;brand;Heynitz;
11.05.2022;14:36;trocken,sonne, warm;;BMA;Rhäsa;
25.05.2022;18:34;trocken,warm;;brand;Robschütz;
03.07.2022;17:55;heiß, trocken;;brand;Katzenberg;
13.07.2022;15:08;trocken, heiß;;brand;Klipphausen;Alarmierungsfehler
09.08.2022;18:32;trocken, heiß;;brand;Raußlitz;Großbrand
11.08.2022;15:45;trocken, warm;;brand;A4;Raststätte
29.08.2022;15:15;trocken, warm;;BMA;Munzig;
02.09.2022;07:54;trocken,warm;;brand;A14;
07.10.2022;17:09;sonnig;;vku;A4;
11.11.2022;07:47;sonnig,trocken;;BMA;Nossen;
03.12.2022;12:20;winterlich;;vku;Gewerbegebiet;
07.12.2022;17:59;feucht, kühl;;brand;Katzenberg;Übung
10.12.2022;09:00;winterlich, kalt;;Ölspur;Wuhsen;
11.12.2022;22:55;Schneefall,-4°;;brand;A14;
31.12.2022;20:28;Wind, warm;;brand;Miltitz;
02.01.2021;14:05;trocken, 2°;;Unterstützung Rettungsdienst;Wendischbora;
05.01.2021;10:54;leichter schneefall, 0°;;Baum auf Straße;Mahlitzsch;
06.01.2021;15:53;Tauwetter, 0°;;Ölspur;Wunschwitz-Mahlitzsch;
07.01.2021;09:29;trocken, 0°;;Ölspur;Heynitz;
08.01.2021;15:19;leichter schneefall;;Ölspur;Mahlitsch-Heynitz;
09.01.2021;09:50;leichter Schneefall;;Ölspur;Heynitz;
16.01.2021;14:53;kalt,trocken;;Ölspur;Mahlitzsch;
25.01.2021;11:16;kalt, trocken;;Ölspur;Heynitz;
25.01.2021;14:27;kalt, trocken;;Ölspur;Wunschwitz;
03.02.2021;15:08;kalt, trocken;;Ölspur;Lindigtgut;
13.03.2021;19:27;starker wind, Regen;;Baum auf Straße;Ilkendorf;
19.03.2021;13:32;feucht, kein Niederschlag, 2°;;Ölspur;Wunschwitz-Kottewitz;
