datum;zeit;wetter;temp;einsatz;ort;besonderheit
01.01.2023;01:37;wind,warm,trocken;;brand;katzenberg;
04.01.2023;08:28;regnerrisch,kühl;;vku;b101;
21.01.2023;18:21;starker schneefall;;vku;b101;
03.03.2023;12:48;regen, starker wind;;baum auf straße;kottewitz;
02.03.2023;17:20;kalt, trocken;;unterstützung rettungsdienst;kottewitz;nächster tag kein strom
11.03.2023;07:17;wind,schnee, kalt;;baum auf straße;b101;
21.03.2023;12:51;gut;;vku;b101;
30.03.2023;17:39;feucht, windig;;baum auf straße;wendischbora;
31.01.2023;18:23;leichter wind, feucht;;vku;b101;
01.04.2023;12:26;regen, kühl;;vku;b101;
02.04.2023;16:40;kalt, trocken;;brand;a14;raststätte
03.04.2023;15:58;kalt, trocken;;unterstützung rettungsdienst;wunschwitz;
16.01.2022;10:24;sonnig, kalt, trocken;;gasausströmung;heynitz;
24.01.2022;11:01;regnerisch, 4°;;ölspur;heynitz;
26.01.2022;15:34;regnerisch, 0°;;ölspur;heynitz;
30.01.2022;12:18;wind, trocken;;baum auf straße;wunschwitz;
20.02.2022;17:29;starker wind, regen;;baum auf straße;kottewitz;
02.03.2022;10:27;trocken,sonne, kalt;;vku;starbach;
02.03.2022;19:09;trocken, kalt;;vku;a14;
09.03.2022;05:11;trocken, kalt;;brand;a14;
24.03.2022;13:49;trocken,warm;;brand;raußlitz;
26.03.2022;15:37;trocken,sonne,heiß;;brand;heynitz;
11.05.2022;14:36;trocken,sonne, warm;;bma;rhäsa;
25.05.2022;18:34;trocken,warm;;brand;robschütz;
03.07.2022;17:55;heiß, trocken;;brand;katzenberg;
13.07.2022;15:08;trocken, heiß;;brand;klipphausen;alarmierungsfehler
09.08.2022;18:32;trocken, heiß;;brand;raußlitz;großbrand
11.08.2022;15:45;trocken, warm;;brand;a4;raststätte
29.08.2022;15:15;trocken, warm;;bma;munzig;
02.09.2022;07:54;trocken,warm;;brand;a14;
07.10.2022;17:09;sonnig;;vku;a4;
11.11.2022;07:47;sonnig,trocken;;bma;nossen;
03.12.2022;12:20;winterlich;;vku;gewerbegebiet;
07.12.2022;17:59;feucht, kühl;;brand;katzenberg;übung
10.12.2022;09:00;winterlich, kalt;;ölspur;wuhsen;
11.12.2022;22:55;schneefall,-4°;;brand;a14;
31.12.2022;20:28;wind, warm;;brand;miltitz;
02.01.2021;14:05;trocken, 2°;;unterstützung rettungsdienst;wendischbora;
05.01.2021;10:54;leichter schneefall, 0°;;baum auf straße;mahlitzsch;
06.01.2021;15:53;tauwetter, 0°;;ölspur;wunschwitz-mahlitzsch;
07.01.2021;09:29;trocken, 0°;;ölspur;heynitz;
08.01.2021;15:19;leichter schneefall;;ölspur;mahlitsch-heynitz;
09.01.2021;09:50;leichter schneefall;;ölspur;heynitz;
16.01.2021;14:53;kalt,trocken;;ölspur;mahlitzsch;
25.01.2021;11:16;kalt, trocken;;ölspur;heynitz;
25.01.2021;14:27;kalt, trocken;;ölspur;wunschwitz;
03.02.2021;15:08;kalt, trocken;;ölspur;lindigtgut;
13.03.2021;19:27;starker wind, regen;;baum auf straße;ilkendorf;
19.03.2021;13:32;feucht, kein niederschlag, 2°;;ölspur;wunschwitz-kottewitz;
31.03.2021;16:45;trocken, warm, 20°;;brand;nossen;
01.04.2021;18:11;trocken;;vku;b101;
09.04.2021;03:38;trocken, 2°;;brand;a14;
15.05.2021;19:49;trocken,warm;;bma;gewerbegebiet;
